Month,Rainfall,Humidity9am,Humidity3pm,MinTemp,MaxTemp,Pressure9am,Pressure3pm,Sunshine,WindSpeed9am,WindSpeed3pm
1,896.0,73.57,57.14,14.85,22.62,1019.36,1017.12,6.41,15.29,17.4
2,1095.0,72.83,56.47,14.15,21.98,1018.53,1016.37,6.43,15.47,18.23
3,921.0,68.52,52.7,12.71,21.34,1020.69,1018.25,7.5,15.99,18.05
4,745.2,67.29,52.37,12.6,21.15,1020.23,1017.62,7.27,16.47,19.4
5,880.4,64.01,49.91,12.65,21.88,1019.89,1017.27,7.46,16.58,18.42
6,782.6,66.43,54.0,13.62,22.0,1018.4,1015.95,7.24,15.08,18.81
7,661.4,65.18,52.33,14.22,22.52,1017.15,1014.79,7.43,14.61,20.23
8,644.2,64.16,52.87,15.87,24.03,1015.94,1013.57,7.71,13.65,20.11
9,805.0,65.84,56.1,17.61,25.32,1016.68,1014.48,7.59,13.82,21.2
10,1383.4,71.2,59.14,17.71,24.85,1018.08,1016.03,6.94,13.9,21.01
11,1144.6,70.5,58.51,16.75,24.39,1017.32,1015.17,6.9,14.92,19.41
12,973.4,70.01,55.21,15.74,23.9,1017.81,1015.48,7.05,15.21,19.11
